assessment_name,category,question_id,question_text,question_explanation,option_text,option_explanation,option_score,option_recommendation
Advanced Cloud Security Check,Infrastructure Security,31,How are access keys and credentials for cloud services managed?,"Checks your method for handling sensitive 'keys' to your cloud accounts (like AWS, Azure). Secure management prevents these keys from being stolen and used to access your infrastructure.","We use a dedicated secrets management service (e.g., AWS Secrets Manager, HashiCorp Vault) with automated key rotation.","Best practice. Centralizes secrets, controls access, and automates rotation to minimize exposure.",2,Excellent. A multi-layered security approach is consistently implemented across all cloud environments.
Advanced Cloud Security Check,Infrastructure Security,31,How are access keys and credentials for cloud services managed?,"Checks your method for handling sensitive 'keys' to your cloud accounts (like AWS, Azure). Secure management prevents these keys from being stolen and used to access your infrastructure.",Keys are stored as environment variables on servers and rotated manually every 90 days.,"A good, common practice, but manual rotation can be forgotten and keys can be exposed in logs.",1,"Good. A strong defense-in-depth strategy is in place, but some layers could be enhanced."
Advanced Cloud Security Check,Infrastructure Security,31,How are access keys and credentials for cloud services managed?,"Checks your method for handling sensitive 'keys' to your cloud accounts (like AWS, Azure). Secure management prevents these keys from being stolen and used to access your infrastructure.",Keys are stored in private code repositories or configuration files.,High risk. Exposes credentials to anyone with code access and makes rotation very difficult.,-1,Fair. A basic defense-in-depth strategy is in place but lacks consistency across services.
Advanced Cloud Security Check,Infrastructure Security,31,How are access keys and credentials for cloud services managed?,"Checks your method for handling sensitive 'keys' to your cloud accounts (like AWS, Azure). Secure management prevents these keys from being stolen and used to access your infrastructure.",Keys are hardcoded directly into the application source code.,"Critical vulnerability. Leaking code means leaking all credentials, with no easy way to revoke them.",-2,Poor. The defense-in-depth strategy is weak. Implement foundational security controls immediately.
Advanced Cloud Security Check,Infrastructure Security,31,How are access keys and credentials for cloud services managed?,"Checks your method for handling sensitive 'keys' to your cloud accounts (like AWS, Azure). Secure management prevents these keys from being stolen and used to access your infrastructure.",We use the same long-lived key for all services.,Extremely high risk. A single key compromise gives an attacker access to everything.,-2,Very Poor. No defense-in-depth strategy exists. Architect a multi-layered security framework immediately.
Advanced Cloud Security Check,Infrastructure Security,32,"What is your strategy for network security in the cloud (VPCs, Security Groups, NACLs)?","Asks about your setup for creating private, isolated networks in the cloud. Proper configuration acts as a virtual firewall, controlling who and what can access your servers.","We use a multi-tiered VPC architecture with strict, least-privilege security groups and network ACLs for defense-in-depth.",Excellent. This layered defense model isolates resources and significantly limits an attacker's movement.,2,Excellent. This layered defense model provides robust protection against network threats.
Advanced Cloud Security Check,Infrastructure Security,32,"What is your strategy for network security in the cloud (VPCs, Security Groups, NACLs)?","Asks about your setup for creating private, isolated networks in the cloud. Proper configuration acts as a virtual firewall, controlling who and what can access your servers.",We use a single VPC with security groups configured to allow traffic only from specific known IP addresses.,"Good control, but a flat network within the VPC means a compromised server can attack others.",1,Good. Network security is strong but could be improved with finer-grained controls.
Advanced Cloud Security Check,Infrastructure Security,32,"What is your strategy for network security in the cloud (VPCs, Security Groups, NACLs)?","Asks about your setup for creating private, isolated networks in the cloud. Proper configuration acts as a virtual firewall, controlling who and what can access your servers.","We use a default VPC and rely on the default security group settings, which are somewhat permissive.",A neutral but risky state. Default settings are often too open for production workloads.,0,Fair. Basic network security controls exist but security groups are often overly permissive.
Advanced Cloud Security Check,Infrastructure Security,32,"What is your strategy for network security in the cloud (VPCs, Security Groups, NACLs)?","Asks about your setup for creating private, isolated networks in the cloud. Proper configuration acts as a virtual firewall, controlling who and what can access your servers.",Our security groups are configured to allow all traffic (0.0.0.0/0) on most ports for ease of access.,Critical misconfiguration. Exposes all services on the instance to the entire internet.,-2,Poor. Network security configurations are weak. Redesign your cloud network architecture.
Advanced Cloud Security Check,Infrastructure Security,32,"What is your strategy for network security in the cloud (VPCs, Security Groups, NACLs)?","Asks about your setup for creating private, isolated networks in the cloud. Proper configuration acts as a virtual firewall, controlling who and what can access your servers.",We don't use VPCs or security groups.,This implies using legacy cloud services (like EC2-Classic) which is a major security risk.,-2,Very Poor. No network segmentation exists. Implement strict access controls immediately.
Advanced Cloud Security Check,Data Protection,33,"How is data encryption managed for storage services (e.g., S3, Blob Storage, EBS)?",Checks if data saved in your cloud storage is scrambled (encrypted). This protects your information even if an unauthorized person somehow gains access to the storage system.,All data is encrypted at rest by default using customer-managed keys (CMK) with a defined key rotation policy.,Best practice. Provides maximum control and auditability over data encryption.,2,Excellent. This provides maximum control and auditability over data encryption.
Advanced Cloud Security Check,Data Protection,33,"How is data encryption managed for storage services (e.g., S3, Blob Storage, EBS)?",Checks if data saved in your cloud storage is scrambled (encrypted). This protects your information even if an unauthorized person somehow gains access to the storage system.,All data is encrypted at rest using the cloud provider's default managed keys.,"Good security posture. The data is protected, though with less granular control than CMKs.",1,"Good. Most data is encrypted, but consider enforcing encryption for all data stores."
Advanced Cloud Security Check,Data Protection,33,"How is data encryption managed for storage services (e.g., S3, Blob Storage, EBS)?",Checks if data saved in your cloud storage is scrambled (encrypted). This protects your information even if an unauthorized person somehow gains access to the storage system.,Only buckets/volumes containing known sensitive data are manually configured for encryption.,"Risky approach. Relies on humans to correctly identify all sensitive data, which is prone to error.",-1,Fair. Encryption is implemented inconsistently. Perform data discovery and classification.
Advanced Cloud Security Check,Data Protection,33,"How is data encryption managed for storage services (e.g., S3, Blob Storage, EBS)?",Checks if data saved in your cloud storage is scrambled (encrypted). This protects your information even if an unauthorized person somehow gains access to the storage system.,"We rely on the default settings, which may or may not include encryption.","Dangerous assumption. Many older services do not encrypt by default, leaving data exposed.",-1,Poor. Encryption is not standard practice. Prioritize encryption for sensitive data.
Advanced Cloud Security Check,Data Protection,33,"How is data encryption managed for storage services (e.g., S3, Blob Storage, EBS)?",Checks if data saved in your cloud storage is scrambled (encrypted). This protects your information even if an unauthorized person somehow gains access to the storage system.,We do not encrypt data stored in the cloud.,Critical vulnerability. A breach of the storage system would expose all data in plaintext.,-2,Very Poor. No data encryption exists. Implement encryption across all cloud services immediately.
Advanced Cloud Security Check,Data Protection,34,"Are detailed logging and monitoring enabled for all cloud activities (e.g., CloudTrail, Azure Monitor)?",Determines if you are recording every action taken in your cloud account. This log is crucial for investigating security incidents and detecting unauthorized activity.,"Yes, logging is enabled for all services in all regions, aggregated to a central, tamper-proof account, with alerts on suspicious API calls.",Gold standard for cloud visibility and incident response readiness.,2,Excellent. This provides full visibility and enables rapid incident response.
Advanced Cloud Security Check,Data Protection,34,"Are detailed logging and monitoring enabled for all cloud activities (e.g., CloudTrail, Azure Monitor)?",Determines if you are recording every action taken in your cloud account. This log is crucial for investigating security incidents and detecting unauthorized activity.,"Logging is enabled for most critical services, and logs are reviewed manually during an incident.","Good, but reactive. Lacks the proactive alerting needed to catch threats in real-time.",1,Good. Logging is established but needs proactive alerting for real-time threat detection.
Advanced Cloud Security Check,Data Protection,34,"Are detailed logging and monitoring enabled for all cloud activities (e.g., CloudTrail, Azure Monitor)?",Determines if you are recording every action taken in your cloud account. This log is crucial for investigating security incidents and detecting unauthorized activity.,Logging is enabled but logs are stored in the same account and are not centrally managed or monitored.,Logs are available but can be tampered with by an attacker who compromises the account.,0,Fair. Logging exists but lacks central management. Implement a centralized monitoring solution.
Advanced Cloud Security Check,Data Protection,34,"Are detailed logging and monitoring enabled for all cloud activities (e.g., CloudTrail, Azure Monitor)?",Determines if you are recording every action taken in your cloud account. This log is crucial for investigating security incidents and detecting unauthorized activity.,"Logging is enabled on only a few services, or we use the default settings.",Major blind spots. You cannot investigate what you do not log.,-1,Poor. Major logging gaps exist. Enable detailed logging for all cloud services.
Advanced Cloud Security Check,Data Protection,34,"Are detailed logging and monitoring enabled for all cloud activities (e.g., CloudTrail, Azure Monitor)?",Determines if you are recording every action taken in your cloud account. This log is crucial for investigating security incidents and detecting unauthorized activity.,Logging is disabled to save costs.,Critical visibility gap. Makes effective incident response nearly impossible.,-2,Very Poor. No logging exists. Implement centralized logging immediately.
Advanced Cloud Security Check,Access Management,35,How do you enforce Identity and Access Management (IAM) policies based on the principle of least privilege?,"Asks how you control what each user and service is allowed to do in your cloud account, ensuring they only have the minimum permissions necessary for their tasks.","IAM roles with granular, resource-specific permissions are used for all human and machine access. Permissions are reviewed quarterly.","Excellent. A mature implementation of least privilege, reducing the blast radius of a compromise.",2,Excellent. This mature implementation minimizes potential damage from compromises.
Advanced Cloud Security Check,Access Management,35,How do you enforce Identity and Access Management (IAM) policies based on the principle of least privilege?,"Asks how you control what each user and service is allowed to do in your cloud account, ensuring they only have the minimum permissions necessary for their tasks.","We use IAM groups with broad policies (e.g., PowerUser, ReadOnly) assigned to users.","A good start, but broad policies often grant more permissions than necessary.",1,Good. IAM policies are defined but could be more granular for least privilege.
Advanced Cloud Security Check,Access Management,35,How do you enforce Identity and Access Management (IAM) policies based on the principle of least privilege?,"Asks how you control what each user and service is allowed to do in your cloud account, ensuring they only have the minimum permissions necessary for their tasks.","We attach policies directly to individual IAM users as needed, but rarely review or remove them.","Leads to privilege creep"" where users accumulate excessive permissions over time.""",-1,Fair. IAM policies exist but need formal processes to prevent permission accumulation.
