assessment_name,category,question_id,question_text,question_explanation,option_text,option_explanation,option_score,option_recommendation
"GDPR Compliance Audit","Data Governance","46","What is your documented lawful basis for processing personal data?","GDPR requires you to have a valid, specific reason for collecting and using personal data. This checks if you have identified and written down your legal reason (e.g., user consent).","We have a documented lawful basis for each data processing activity, which is reviewed and included in our privacy notice.","Excellent. Demonstrates a clear understanding and implementation of a core GDPR principle.","2","Excellent. Maintain your documented lawful bases and ensure they are regularly reviewed and communicated in your privacy notice."
"GDPR Compliance Audit","Data Governance","46","What is your documented lawful basis for processing personal data?","GDPR requires you to have a valid, specific reason for collecting and using personal data. This checks if you have identified and written down your legal reason (e.g., user consent).","We primarily rely on user consent, obtained via clear affirmative action, for all our data processing.","Good, but consent is not always the only or best basis. It's important to understand all six lawful bases.","1","Review other lawful bases under GDPR. Consent is appropriate in many cases, but may not cover all processing activities."
"GDPR Compliance Audit","Data Governance","46","What is your documented lawful basis for processing personal data?","GDPR requires you to have a valid, specific reason for collecting and using personal data. This checks if you have identified and written down your legal reason (e.g., user consent).","We process data based on our 'legitimate interests' but have not performed or documented a formal balancing test.","High compliance risk. Using legitimate interests without a documented LIA is not compliant.","-1","Conduct and document Legitimate Interests Assessments (LIAs) for all processing activities using this basis."
"GDPR Compliance Audit","Data Governance","46","What is your documented lawful basis for processing personal data?","GDPR requires you to have a valid, specific reason for collecting and using personal data. This checks if you have identified and written down your legal reason (e.g., user consent).","We assume we have a right to process the data we collect.","Critical compliance failure. Processing without a lawful basis is a major infringement.","-2","Immediately identify and document lawful bases for all processing activities. Processing without a valid basis violates GDPR."
"GDPR Compliance Audit","Data Governance","46","What is your documented lawful basis for processing personal data?","GDPR requires you to have a valid, specific reason for collecting and using personal data. This checks if you have identified and written down your legal reason (e.g., user consent).","We are not sure what a 'lawful basis' is.","Indicates a fundamental lack of understanding of GDPR requirements.","-2","Train staff on GDPR fundamentals and conduct a comprehensive review of your data processing activities."
"GDPR Compliance Audit","Operational Compliance","47","How do you facilitate data subject rights (e.g., right to access, right to erasure)?","Asks about your process for handling requests from individuals who want to see, change, or delete the personal data you hold about them, as required by law.","We have a clear, documented process and a dedicated contact point for handling data subject requests within the one-month time limit.","Best practice. Ensures you can meet your legal obligations efficiently and correctly.","2","Regularly test your DSAR process and train staff on handling complex requests."
"GDPR Compliance Audit","Operational Compliance","47","How do you facilitate data subject rights (e.g., right to access, right to erasure)?","Asks about your process for handling requests from individuals who want to see, change, or delete the personal data you hold about them, as required by law.","We handle requests on an ad-hoc basis as they come in via email or support tickets.","Risky. An ad-hoc process can easily miss the legal deadline, leading to a compliance breach.","0","Implement a formal DSAR process with tracking mechanisms to ensure timely responses."
"GDPR Compliance Audit","Operational Compliance","47","How do you facilitate data subject rights (e.g., right to access, right to erasure)?","Asks about your process for handling requests from individuals who want to see, change, or delete the personal data you hold about them, as required by law.","We have received requests but are unsure how to process them or if we have to comply.","High risk of non-compliance. Ignoring or improperly handling requests can lead to complaints and fines.","-1","Immediately establish a formal DSAR procedure and train relevant staff on GDPR requirements."
"GDPR Compliance Audit","Operational Compliance","47","How do you facilitate data subject rights (e.g., right to access, right to erasure)?","Asks about your process for handling requests from individuals who want to see, change, or delete the personal data you hold about them, as required by law.","We tell users we are unable to delete their data.","A direct violation of data subject rights under GDPR, unless a specific legal exemption applies.","-2","Review GDPR requirements for data erasure. Implement processes to comply with valid deletion requests."
"GDPR Compliance Audit","Operational Compliance","47","How do you facilitate data subject rights (e.g., right to access, right to erasure)?","Asks about your process for handling requests from individuals who want to see, change, or delete the personal data you hold about them, as required by law.","We have never received a data subject request.","Neutral, but it's crucial to have a process in place for when a request is eventually received.","0","Proactively establish a DSAR process rather than waiting for your first request."
