assessment_name,category,question_id,question_text,question_explanation,option_text,option_explanation,option_score,option_recommendation
Standard ITIVA Assessment,Website Strength,1,Is your website traffic encrypted using a valid and current SSL/TLS certificate (HTTPS)?,"Checks if your website uses a secure 'lock' (HTTPS) to protect data, like passwords, from being stolen as it travels over the internet.","Yes, on all pages, with HSTS enabled","The gold standard, enforcing encryption and protecting against downgrade attacks.",2,Excellent. Maintain your strong TLS configuration and review it annually against new best practices.
Standard ITIVA Assessment,Website Strength,1,Is your website traffic encrypted using a valid and current SSL/TLS certificate (HTTPS)?,"Checks if your website uses a secure 'lock' (HTTPS) to protect data, like passwords, from being stolen as it travels over the internet.","Yes, standard certificate on all pages",Good security. The entire site is encrypted.,1,Good. Consider implementing HSTS (HTTP Strict Transport Security) to further enhance security by preventing protocol downgrade attacks.
Standard ITIVA Assessment,Website Strength,1,Is your website traffic encrypted using a valid and current SSL/TLS certificate (HTTPS)?,"Checks if your website uses a secure 'lock' (HTTPS) to protect data, like passwords, from being stolen as it travels over the internet.",Only on sensitive pages,A partial implementation that leaves other pages vulnerable.,0,"High Priority: Immediately deploy SSL/TLS across your entire website. Modern web traffic should be encrypted by default, not just on sensitive pages."
Standard ITIVA Assessment,Website Strength,1,Is your website traffic encrypted using a valid and current SSL/TLS certificate (HTTPS)?,"Checks if your website uses a secure 'lock' (HTTPS) to protect data, like passwords, from being stolen as it travels over the internet.",Certificate is expired/misconfigured,Creates security warnings and may not provide proper encryption.,-1,Critical: Renew or fix your SSL/TLS certificate immediately. A broken certificate damages user trust and offers no protection.
Standard ITIVA Assessment,Website Strength,1,Is your website traffic encrypted using a valid and current SSL/TLS certificate (HTTPS)?,"Checks if your website uses a secure 'lock' (HTTPS) to protect data, like passwords, from being stolen as it travels over the internet.","No, we use HTTP only",A critical vulnerability. All data is sent in plaintext.,-2,Critical: Procure and install an SSL/TLS certificate for your website immediately. Operating over HTTP is a major security risk to your users and your business.
Standard ITIVA Assessment,Website Strength,2,"Are all software components of your website (e.g., CMS, plugins, themes) kept up-to-date?","Ensures the building blocks of your website are updated to fix security holes that hackers could exploit, much like updating the apps on your phone.","Yes, we use an automated process to scan and apply security patches within 48 hours of release.",A proactive and rapid patching process that minimizes the window of opportunity for attackers.,2,Excellent. Continue to monitor your automated patching system to ensure it is functioning correctly.
Standard ITIVA Assessment,Website Strength,2,"Are all software components of your website (e.g., CMS, plugins, themes) kept up-to-date?","Ensures the building blocks of your website are updated to fix security holes that hackers could exploit, much like updating the apps on your phone.","Yes, we check for and apply updates manually on a weekly basis.","A good, disciplined process, though slightly slower than an automated one.",1,"Good. To improve, investigate automated patching solutions to reduce the manual workload and shorten the time to patch."
Standard ITIVA Assessment,Website Strength,2,"Are all software components of your website (e.g., CMS, plugins, themes) kept up-to-date?","Ensures the building blocks of your website are updated to fix security holes that hackers could exploit, much like updating the apps on your phone.",We apply updates sporadically or only when something breaks.,An inconsistent process that likely leaves vulnerabilities open for extended periods.,0,"High Priority: Implement a formal, regular patching schedule (at least weekly). Sporadic updates leave you vulnerable to known exploits."
Standard ITIVA Assessment,Website Strength,2,"Are all software components of your website (e.g., CMS, plugins, themes) kept up-to-date?","Ensures the building blocks of your website are updated to fix security holes that hackers could exploit, much like updating the apps on your phone.","We rarely update, or only update major versions.",This guarantees that numerous known vulnerabilities exist on the website.,-1,"Critical: Immediately implement a patch management process. Your website is almost certainly running software with known, severe vulnerabilities."
Standard ITIVA Assessment,Website Strength,2,"Are all software components of your website (e.g., CMS, plugins, themes) kept up-to-date?","Ensures the building blocks of your website are updated to fix security holes that hackers could exploit, much like updating the apps on your phone.",We do not know how to or never update our website components.,"A high-risk state, making a compromise of the website highly probable.",-2,Critical: Seek immediate technical assistance to establish an update and patch management process. This is a foundational security requirement.
Standard ITIVA Assessment,Website Strength,3,Do you have a Web Application Firewall (WAF) in place?,Asks if you have a digital bodyguard for your website that blocks common hacking attempts and malicious traffic before it can do any harm.,"Yes, a managed WAF with custom rules tailored to our application.","The most effective WAF implementation, offering protection against both common and application-specific attacks.",2,"Excellent. Your proactive approach with a managed, custom WAF provides superior protection. Ensure rules are reviewed regularly."
Standard ITIVA Assessment,Website Strength,3,Do you have a Web Application Firewall (WAF) in place?,Asks if you have a digital bodyguard for your website that blocks common hacking attempts and malicious traffic before it can do any harm.,"Yes, we use a standard WAF provided by our hosting or CDN provider.",A strong protective measure against a wide range of common attacks.,1,Good. You have a solid layer of protection. Periodically review the WAF logs to understand the types of attacks being blocked.
Standard ITIVA Assessment,Website Strength,3,Do you have a Web Application Firewall (WAF) in place?,Asks if you have a digital bodyguard for your website that blocks common hacking attempts and malicious traffic before it can do any harm.,We are planning to implement one.,Awareness without protection offers no current security benefit.,0,"Recommendation: Prioritize the implementation of a WAF. It is a critical defense layer against common, automated web attacks."
