assessment_name,category,question_id,question_text,question_explanation,option_text,option_explanation,option_score,option_recommendation
"User Preference & IT Configuration","IT Configuration","56","How do you currently manage administrative access to your critical systems (e.g., servers, cloud consoles)?","This question assesses the maturity of your privileged access management (PAM), which is crucial for preventing unauthorized changes and breaches.","We have a dedicated Privileged Access Management (PAM) solution with session recording and regular access reviews.","Excellent. This indicates a mature security posture for managing privileged accounts.","2","Maintain this setup and conduct quarterly reviews of privileged access policies to ensure continued effectiveness."
"User Preference & IT Configuration","IT Configuration","56","How do you currently manage administrative access to your critical systems (e.g., servers, cloud consoles)?","This question assesses the maturity of your privileged access management (PAM), which is crucial for preventing unauthorized changes and breaches.","Admins use individual, named accounts with Multi-Factor Authentication (MFA) required.","Good. This is a strong baseline for security, although it lacks the advanced monitoring of a full PAM solution.","1","Implement session recording and quarterly access reviews to achieve full PAM capabilities within 6 months."
"User Preference & IT Configuration","IT Configuration","56","How do you currently manage administrative access to your critical systems (e.g., servers, cloud consoles)?","This question assesses the maturity of your privileged access management (PAM), which is crucial for preventing unauthorized changes and breaches.","We use shared administrative accounts (e.g., 'admin', 'root') protected by a complex password.","High Risk. Shared accounts create a significant accountability gap, making it impossible to trace actions back to a specific individual.","-1","Immediately eliminate shared accounts and implement individual MFA-protected accounts with privilege tiers within 30 days."
"User Preference & IT Configuration","IT Configuration","56","How do you currently manage administrative access to your critical systems (e.g., servers, cloud consoles)?","This question assesses the maturity of your privileged access management (PAM), which is crucial for preventing unauthorized changes and breaches.","Administrative access is not strictly controlled; several team members have standing, non-expiring admin rights.","Critical Risk. Uncontrolled, standing administrative access is a primary target for attackers and a major source of insider threat.","-2","Implement least-privilege access immediately: Revoke all standing admin rights and deploy just-in-time privileged access with MFA within 2 weeks."
"User Preference & IT Configuration","IT Configuration","56","How do you currently manage administrative access to your critical systems (e.g., servers, cloud consoles)?","This question assesses the maturity of your privileged access management (PAM), which is crucial for preventing unauthorized changes and breaches.","We are not sure how administrative access is managed.","Critical Governance Failure. Lack of awareness indicates a complete absence of control over the most powerful system accounts.","-2","Conduct an immediate privileged account audit and implement PAM controls with quarterly access reviews within 30 days."
"User Preference & IT Configuration","IT Configuration","57","What is your approach to data encryption for company laptops and servers?","This question evaluates your use of encryption to protect data at rest, which safeguards information if a device is lost or stolen.","All company endpoints (laptops) and servers use full-disk encryption enforced by a central policy.","Best Practice. Enforcing encryption centrally ensures consistent protection across all company assets.","2","Maintain central enforcement and conduct quarterly audits to ensure 100% compliance across all devices."
"User Preference & IT Configuration","IT Configuration","57","What is your approach to data encryption for company laptops and servers?","This question evaluates your use of encryption to protect data at rest, which safeguards information if a device is lost or stolen.","Most company devices are encrypted, but it's not centrally managed or enforced.","Good, but inconsistent. A lack of central enforcement can lead to gaps in coverage as new devices are added.","1","Implement centralized encryption management within 60 days to ensure automatic enforcement on all new devices."
"User Preference & IT Configuration","IT Configuration","57","What is your approach to data encryption for company laptops and servers?","This question evaluates your use of encryption to protect data at rest, which safeguards information if a device is lost or stolen.","Only specific servers with highly sensitive data are encrypted.","Insufficient. This leaves a large amount of potentially sensitive data on other servers and all laptops exposed.","-1","Extend full-disk encryption to all endpoints and servers within 45 days, starting with finance and HR systems."
"User Preference & IT Configuration","IT Configuration","57","What is your approach to data encryption for company laptops and servers?","This question evaluates your use of encryption to protect data at rest, which safeguards information if a device is lost or stolen.","We do not currently use encryption on our laptops or servers.","Critical Vulnerability. This exposes the organization to a high risk of data breach from lost or stolen hardware.","-2","Immediately prioritize encryption deployment: Start with mobile devices and customer data servers within 14 days."
"User Preference & IT Configuration","IT Configuration","57","What is your approach to data encryption for company laptops and servers?","This question evaluates your use of encryption to protect data at rest, which safeguards information if a device is lost or stolen.","We are unsure if our devices are encrypted.","Significant Gap. This lack of awareness suggests that data protection is not being actively managed.","-2","Conduct an immediate encryption audit and implement mandatory encryption policies for all devices within 30 days."
"User Preference & IT Configuration","IT Configuration","58","How does your organization handle software patching and vulnerability management?","This question assesses your process for fixing known security holes in your software, which is a primary defense against common cyberattacks.","We use an automated, centralized system to scan for and deploy critical patches across all systems within 72 hours.","Excellent. An automated and rapid patching process significantly reduces the window of opportunity for attackers.","2","Maintain this standard and conduct monthly vulnerability scans to identify any patching gaps."
"User Preference & IT Configuration","IT Configuration","58","How does your organization handle software patching and vulnerability management?","This question assesses your process for fixing known security holes in your software, which is a primary defense against common cyberattacks.","We have a regular, manual process to apply patches, typically on a monthly cycle.","Good, but can be slow. A monthly cycle can leave systems exposed to critical vulnerabilities for weeks.","1","Implement automated patching for critical systems within 30 days to reduce exposure window to under 7 days."
"User Preference & IT Configuration","IT Configuration","58","How does your organization handle software patching and vulnerability management?","This question assesses your process for fixing known security holes in your software, which is a primary defense against common cyberattacks.","We only patch systems when we encounter a problem or if an update is forced.","Reactive and Dangerous. This approach leaves you perpetually vulnerable to well-known exploits that are actively being used by attackers.","-2","Establish an immediate patching cadence: Start with critical systems weekly and implement vulnerability scanning within 14 days."
"User Preference & IT Configuration","IT Configuration","58","How does your organization handle software patching and vulnerability management?","This question assesses your process for fixing known security holes in your software, which is a primary defense against common cyberattacks.","We do not have a formal process for patching or managing vulnerabilities.","Critical Negligence. This is an open invitation for a security breach, as systems will inevitably have unpatched, exploitable flaws.","-2","Implement an emergency patching process immediately and deploy automated patch management tools within 30 days."
"User Preference & IT Configuration","IT Configuration","58","How does your organization handle software patching and vulnerability management?","This question assesses your process for fixing known security holes in your software, which is a primary defense against common cyberattacks.","We rely on individual users to update their own software.","Unreliable and Ineffective. This leads to inconsistent patch levels across the organization and provides no assurance of security.","-1","Implement centralized patch management within 45 days with enforcement policies for all endpoints."
"User Preference & IT Configuration","IT Configuration","59","What level of network segmentation is in place to separate critical systems from the general user network?","This question evaluates how you isolate networks to contain potential breaches and protect high-value assets.","We have full network segmentation, with critical servers, user workstations, and guest networks on separate, firewalled VLANs.","Best Practice. This containment strategy severely limits an attacker's ability to move laterally across your network.","2","Conduct quarterly segmentation audits and implement micro-segmentation for critical assets within 6 months."
"User Preference & IT Configuration","IT Configuration","59","What level of network segmentation is in place to separate critical systems from the general user network?","This question evaluates how you isolate networks to contain potential breaches and protect high-value assets.","We have a separate Wi-Fi network for guests, but all internal company devices are on a single, flat network.","Basic, but Insufficient. While a guest network is good, a flat internal network allows a single compromised machine to potentially access all other systems.","1","Implement VLAN segmentation for servers and critical systems within 60 days, starting with finance and database systems."
"User Preference & IT Configuration","IT Configuration","59","What level of network segmentation is in place to separate critical systems from the general user network?","This question evaluates how you isolate networks to contain potential breaches and protect high-value assets.","Our network is not segmented. All devices, including servers and workstations, are on the same network.","High Risk. This configuration provides no internal defense and allows malware to spread freely and rapidly throughout the organization.","-2","Immediately segment critical assets into isolated networks and implement firewall policies within 30 days."
"User Preference & IT Configuration","IT Configuration","59","What level of network segmentation is in place to separate critical systems from the general user network?","This question evaluates how you isolate networks to contain potential breaches and protect high-value assets.","We are not sure what network segmentation is.","Critical Knowledge Gap. A lack of understanding of fundamental security concepts indicates a high-risk environment.","-2","Engage a network security consultant immediately and implement basic segmentation within 45 days."
"User Preference & IT Configuration","IT Configuration","59","What level of network segmentation is in place to separate critical systems from the general user network?","This question evaluates how you isolate networks to contain potential breaches and protect high-value assets.","We plan to implement network segmentation in the next fiscal year.","Good Intent, but Currently Vulnerable. The risk exists today. The plan should be accelerated if possible.","0","Accelerate segmentation project timeline to within 90 days, starting with critical systems immediately."
"User Preference & IT Configuration","IT Configuration","60","How do you monitor your IT environment for security threats?","This question assesses your capability to detect and respond to security incidents in a timely manner.","We use a Security Information and Event Management (SIEM) system with 24/7 monitoring and automated alerting.","Excellent. Proactive, centralized monitoring is key to rapid threat detection and response.","2","Conduct quarterly threat hunting exercises and implement UEBA capabilities within 6 months."
"User Preference & IT Configuration","IT Configuration","60","How do you monitor your IT environment for security threats?","This question assesses your capability to detect and respond to security incidents in a timely manner.","We review logs from key systems (e.g., firewalls, servers) on a weekly basis.","A Good Start. Regular log review is useful but may be too slow to catch a fast-moving attack in progress.","1","Implement automated alerting for critical events and daily log reviews within 30 days."
"User Preference & IT Configuration","IT Configuration","60","How do you monitor your IT environment for security threats?","This question assesses your capability to detect and respond to security incidents in a timely manner.","We only investigate our systems after we suspect a problem has occurred.","Reactive and Insufficient. By the time a problem is obvious, significant damage may have already been done.","-1","Implement continuous monitoring with automated alerts for suspicious activities within 45 days."
"User Preference & IT Configuration","IT Configuration","60","How do you monitor your IT environment for security threats?","This question assesses your capability to detect and respond to security incidents in a timely manner.","We do not have any security monitoring tools or processes in place.","Critical Blind Spot. You cannot defend against threats you cannot see. This leaves the organization completely exposed.","-2","Deploy a SIEM solution immediately and implement 24/7 monitoring for critical systems within 30 days."
"User Preference & IT Configuration","IT Configuration","60","How do you monitor your IT environment for security threats?","This question assesses your capability to detect and respond to security incidents in a timely manner.","We rely on automated alerts from our antivirus software as our primary monitoring tool.","Inadequate. While antivirus is essential, it only protects against a fraction of modern threats and provides no network or system-level visibility.","-1","Expand monitoring to include network traffic analysis and endpoint detection within 60 days."
"User Preference & IT Configuration","IT Configuration","61","What is your organization's policy on the use of personal devices (BYOD) for work purposes?","This question assesses how you manage the risks associated with unmanaged personal devices accessing company data.","We have a formal BYOD policy and use Mobile Device Management (MDM) software to enforce security controls on personal devices.","Best Practice. This allows for flexibility while maintaining crucial security oversight and control over company data.","2","Conduct quarterly policy reviews and implement containerization for corporate data within 6 months."
