assessment_name,question_number,option,score,explanation
Standard ITIVA Assessment,1,"Yes, on all pages, with HSTS enabled",2,"The gold standard, enforcing encryption and protecting against downgrade attacks."
Standard ITIVA Assessment,1,"Yes, standard certificate on all pages",1,Good security. The entire site is encrypted.
Standard ITIVA Assessment,1,Only on sensitive pages,0,A partial implementation that leaves other pages vulnerable.
Standard ITIVA Assessment,1,Certificate is expired/misconfigured,-1,Creates security warnings and may not provide proper encryption.
Standard ITIVA Assessment,1,"No, we use HTTP only",-2,A critical vulnerability. All data is sent in plaintext.
Standard ITIVA Assessment,2,"Yes, we use an automated process to scan and apply security patches within 48 hours of release.",2,A proactive and rapid patching process that minimizes the window of opportunity for attackers.
Standard ITIVA Assessment,2,"Yes, we check for and apply updates manually on a weekly basis.",1,"A good, disciplined process, though slightly slower than an automated one."
Standard ITIVA Assessment,2,We apply updates sporadically or only when something breaks.,0,An inconsistent process that likely leaves vulnerabilities open for extended periods.
Standard ITIVA Assessment,2,"We rarely update, or only update major versions.",-1,This guarantees that numerous known vulnerabilities exist on the website.
Standard ITIVA Assessment,2,We do not know how to or never update our website components.,-2,"A high-risk state, making a compromise of the website highly probable."
Standard ITIVA Assessment,3,"Yes, a managed WAF with custom rules tailored to our application.",2,"The most effective WAF implementation, offering protection against both common and application-specific attacks."
Standard ITIVA Assessment,3,"Yes, we use a standard WAF provided by our hosting or CDN provider.",1,A strong protective measure against a wide range of common attacks.
Standard ITIVA Assessment,3,We are planning to implement one.,0,Awareness without protection offers no current security benefit.
Standard ITIVA Assessment,3,I don't know.,-1,Lack of awareness of a critical security control is a significant vulnerability in itself.
Standard ITIVA Assessment,3,"No, we do not have a WAF.",-2,The website is fully exposed to common attacks like SQL injection and XSS without a dedicated filter.
Standard ITIVA Assessment,4,"Yes, comprehensive validation is strictly enforced on both the client and server-side.",2,Robust protection against data injection attacks by treating all user input as untrusted.
Standard ITIVA Assessment,4,"Yes, all inputs are validated on the server-side.",1,"Good security, as server-side validation cannot be bypassed by an attacker."
Standard ITIVA Assessment,4,We mostly rely on frontend validation.,-1,"A significant vulnerability, as client-side validation can be easily bypassed."
Standard ITIVA Assessment,4,Validation is inconsistent and only applied to some forms.,-1,Inconsistent validation leaves predictable and exploitable holes in security.
Standard ITIVA Assessment,4,"No, we do not perform input validation.",-2,A critical flaw that makes the application highly susceptible to injection attacks.
Standard ITIVA Assessment,5,"Yes, we enforce complexity, length, and 2FA for all accounts, especially admins.",2,A comprehensive approach that protects against brute-force attacks and credential stuffing.
Standard ITIVA Assessment,5,"Yes, we enforce password complexity (e.g., uppercase, numbers, symbols) and length.",1,A strong foundational policy that prevents weak and easily guessable passwords.
Standard ITIVA Assessment,5,We have a basic password length requirement only.,0,A minimal standard that is better than nothing but still allows for weak passwords.
Standard ITIVA Assessment,5,We have no password requirements; users can set anything.,-2,A critical risk that allows for extremely weak passwords and easy account compromise.
Standard ITIVA Assessment,5,We have shared administrator accounts.,-2,"This is a major security risk, as it makes auditing impossible and simplifies unauthorized access."
Standard ITIVA Assessment,6,"Yes, automated daily backups are encrypted and stored in a secure, geographically separate location.",2,"The gold standard for disaster recovery, ensuring business continuity with minimal data loss."
Standard ITIVA Assessment,6,"Yes, automated daily or weekly backups are stored with our hosting provider.",1,"A good practice that ensures data can be recovered, though with a potential 24-hour data loss."
Standard ITIVA Assessment,6,We perform manual backups sporadically.,-1,"Unreliable and prone to human error, leading to significant data loss."
Standard ITIVA Assessment,6,"We have backups, but they are old or we've never tested restoring them.",-2,A useless backup system that provides a false sense of security.
Standard ITIVA Assessment,6,"No, we do not have backups.",-2,A critical failure in business continuity planning. A single event could lead to total data loss.
Standard ITIVA Assessment,7,"Yes, user roles are strictly defined, and access is granted on a need-to-know basis.",2,A mature security design that minimizes the impact of a potential account compromise.
Standard ITIVA Assessment,7,"Yes, we have different roles for administrators and regular users.",1,"A good, basic security practice that separates administrative functions from normal use."
Standard ITIVA Assessment,7,User roles are not well-defined; many users have high-level privileges.,-1,"A significant risk, as a compromise of any user account could lead to a full system compromise."
Standard ITIVA Assessment,7,All users share the same level of access.,-2,"A critical vulnerability. If one account is breached, the entire system is breached."
