assessment name,question number,option,recommendation
Standard ITIVA Assessment,1,A,Excellent. Maintain your strong TLS configuration and review it annually against new best practices.
Standard ITIVA Assessment,1,B,Good. Consider implementing HSTS (HTTP Strict Transport Security) to further enhance security by preventing protocol downgrade attacks.
Standard ITIVA Assessment,1,C,"High Priority: Immediately deploy SSL/TLS across your entire website. Modern web traffic should be encrypted by default, not just on sensitive pages."
Standard ITIVA Assessment,1,D,Critical: Renew or fix your SSL/TLS certificate immediately. A broken certificate damages user trust and offers no protection.
Standard ITIVA Assessment,1,E,Critical: Procure and install an SSL/TLS certificate for your website immediately. Operating over HTTP is a major security risk to your users and your business.
Standard ITIVA Assessment,2,A,Excellent. Continue to monitor your automated patching system to ensure it is functioning correctly.
Standard ITIVA Assessment,2,B,"Good. To improve, investigate automated patching solutions to reduce the manual workload and shorten the time to patch."
Standard ITIVA Assessment,2,C,"High Priority: Implement a formal, regular patching schedule (at least weekly). Sporadic updates leave you vulnerable to known exploits."
Standard ITIVA Assessment,2,D,"Critical: Immediately implement a patch management process. Your website is almost certainly running software with known, severe vulnerabilities."
Standard ITIVA Assessment,2,E,Critical: Seek immediate technical assistance to establish an update and patch management process. This is a foundational security requirement.
Standard ITIVA Assessment,3,A,"Excellent. Your proactive approach with a managed, custom WAF provides superior protection. Ensure rules are reviewed regularly."
Standard ITIVA Assessment,3,B,Good. You have a solid layer of protection. Periodically review the WAF logs to understand the types of attacks being blocked.
Standard ITIVA Assessment,3,C,"Recommendation: Prioritize the implementation of a WAF. It is a critical defense layer against common, automated web attacks."
Standard ITIVA Assessment,3,D,High Priority: Investigate if your hosting provider offers a WAF and enable it. Understanding and using a WAF is key to web security.
Standard ITIVA Assessment,3,E,Critical: Implement a Web Application Firewall (WAF) as soon as possible to protect against common attacks like SQL Injection and Cross-Site Scripting (XSS).
Standard ITIVA Assessment,4,A,Excellent. This is the correct approach and provides robust protection against injection attacks.
Standard ITIVA Assessment,4,B,Good. Server-side validation is the most critical part. Ensure it covers all possible user inputs.
Standard ITIVA Assessment,4,C,"Critical: Immediately implement server-side validation. Frontend validation is a user experience feature, not a security control, as it can be easily bypassed."
Standard ITIVA Assessment,4,D,High Priority: Conduct a full review of your application and enforce server-side input validation on every single user-submitted field.
Standard ITIVA Assessment,4,E,Critical: Immediately implement server-side input validation across your entire application. This is a fundamental defense against many severe vulnerabilities.
Standard ITIVA Assessment,5,A,Excellent. This comprehensive approach provides strong defense against password-based attacks.
Standard ITIVA Assessment,5,B,"Good. To improve, enforce 2FA/MFA, especially for administrative accounts, to provide an additional layer of security."
Standard ITIVA Assessment,5,C,"Recommendation: Enhance your password policy to include complexity requirements (uppercase, lowercase, numbers, symbols)."
Standard ITIVA Assessment,5,D,Critical: Immediately implement and enforce a strong password policy requiring length and complexity. The current state is a high-risk invitation for account takeovers.
Standard ITIVA Assessment,5,E,Critical: Immediately create unique accounts for each administrator and user. Shared accounts are a major security risk that prevents accountability and effective access control.
Standard ITIVA Assessment,6,A,Excellent. Your backup strategy is robust and aligned with best practices for disaster recovery.
Standard ITIVA Assessment,6,B,Good. Ensure you periodically test restoring from your backups to verify their integrity.
Standard ITIVA Assessment,6,C,"High Priority: Implement an automated, regular backup schedule. Manual backups are unreliable and will lead to data loss."
